id,name,description,max_attempts,value,category,type,state,requirements
1,Initialize,Modi quas eveniet quibusdam eum asperiores dignissimos.,0,50,Initialization,integrated,visible,
2,Referrer URL Protection (#01),Voluptate beatae ad quod.,0,500,Admin,integrated,visible,{u'prerequisites': [1]}
3,Cross Site Scripting Protection (#02),Facere sapiente alias sit.,0,500,Admin,integrated,visible,{u'prerequisites': [1]}
4,Content Sniffing Protection (#03),Eum eaque ipsum aliquid.,0,500,Admin,integrated,visible,{u'prerequisites': [1]}
5,HTTP Strict Transport Security (#04),Harum rerum adipisci voluptas enim aut.,0,500,Admin,integrated,visible,{u'prerequisites': [1]}
6,Secure External Redirects (#05),Aut illo necessitatibus recusandae quidem rerum libero.,0,700,Admin,integrated,visible,{u'prerequisites': [1]}
7,Strong Password Policies (#06),Molestias illum deleniti eum.,0,500,Admin,integrated,visible,{u'prerequisites': [1]}
8,Secure Session Settings (#07),Beatae consequatur repellendus ullam sint quod qui.,0,700,Admin,integrated,visible,{u'prerequisites': [1]}
9,Least Privilege (#08),Harum atque labore exercitationem.,0,1000,Admin,integrated,visible,{u'prerequisites': [1]}
10,Deactivate Ex-Users (#09),Delectus hic hic ad mollitia explicabo.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
11,Two Factor Authentication (#10),Nisi nesciunt iusto voluptatem.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
12,Remote Site Settings (#11),Doloribus maiores numquam velit distinctio.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
13,Named Credentials (#12),Quis molestiae harum eum distinctio cupiditate.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
14,Profile Permissions (#13),Nam odit ipsa.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
15,Self Signed Certificate (#14),Sunt accusamus quibusdam rem ducimus.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
16,Verify SAML (#15),Minima debitis vero ratione perspiciatis iusto vero id.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
17,Email Security (#16),Similique aperiam perferendis eligendi totam ea.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
18,Salesforce Authenticator 2FA (#17),Necessitatibus alias ipsum enim.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
19,Content Security Policy (#18),Labore perspiciatis modi iste eius animi vero.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
20,Cross Origin Resource Sharing (#19),Facere nisi minima.,0,800,Admin,integrated,visible,{u'prerequisites': [1]}
21,Challenge-1,Adipisci dicta temporibus esse.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
22,Challenge-2,Temporibus non ullam occaecati distinctio perspiciatis.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
23,Challenge-3,Pariatur nulla nam vel.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
24,Challenge-4,Nostrum vero earum.,0,1000,Developer,integrated,visible,{u'prerequisites': [1]}
