challenge_id,user_id,type,date
1,4,correct,2019-11-20 16:04:26
9,4,correct,2019-11-20 16:04:49
20,4,correct,2019-11-20 16:04:56
19,4,correct,2019-11-20 16:05:08
18,4,correct,2019-11-20 16:05:17
17,4,correct,2019-11-20 16:05:34
16,4,correct,2019-11-20 16:05:47
15,4,correct,2019-11-20 16:05:57
14,4,correct,2019-11-20 16:06:07
13,4,correct,2019-11-20 16:06:17
12,4,correct,2019-11-20 16:06:28
11,4,correct,2019-11-20 16:06:38
10,4,correct,2019-11-20 16:06:47
3,4,correct,2019-11-20 16:08:33
4,4,correct,2019-11-20 16:08:41
5,4,correct,2019-11-20 16:08:57
6,4,correct,2019-11-20 16:09:09
2,4,correct,2019-11-20 16:09:17
7,4,correct,2019-11-20 16:09:57
8,4,correct,2019-11-20 16:10:33
77,4,correct,2019-11-20 16:10:46
78,4,correct,2019-11-20 16:10:55
79,4,correct,2019-11-20 16:11:00
21,4,correct,2019-11-20 16:11:17
23,4,correct,2019-11-20 16:11:26
26,4,correct,2019-11-20 16:11:36
42,4,correct,2019-11-20 16:12:20
43,4,correct,2019-11-20 16:12:27
44,4,correct,2019-11-20 16:12:32
45,4,correct,2019-11-20 16:12:40
46,4,correct,2019-11-20 16:12:46
47,4,correct,2019-11-20 16:12:53
48,4,correct,2019-11-20 16:12:58
49,4,correct,2019-11-20 16:13:05
50,4,correct,2019-11-20 16:13:11
31,3,correct,2019-11-20 16:13:14
51,4,correct,2019-11-20 16:13:40
58,4,correct,2019-11-20 16:13:47
59,4,correct,2019-11-20 16:13:54
60,4,correct,2019-11-20 16:14:04
61,4,correct,2019-11-20 16:14:10
62,4,correct,2019-11-20 16:14:16
63,4,correct,2019-11-20 16:14:22
64,4,correct,2019-11-20 16:14:31
65,4,correct,2019-11-20 16:15:00
66,4,correct,2019-11-20 16:15:25
67,4,correct,2019-11-20 16:15:32
1,3,correct,2019-11-20 16:15:45
68,4,correct,2019-11-20 16:16:01
69,4,correct,2019-11-20 16:16:08
70,4,correct,2019-11-20 16:16:14
71,4,correct,2019-11-20 16:16:19
75,4,correct,2019-11-20 16:16:25
76,4,correct,2019-11-20 16:16:37
31,4,correct,2019-11-20 16:17:22
32,4,correct,2019-11-20 16:17:32
31,7,correct,2019-11-20 16:17:54
33,4,correct,2019-11-20 16:17:58
32,7,correct,2019-11-20 16:18:10
33,7,correct,2019-11-20 16:18:19
36,4,correct,2019-11-20 16:18:20
34,7,correct,2019-11-20 16:18:28
37,4,correct,2019-11-20 16:18:37
35,7,correct,2019-11-20 16:18:41
38,4,correct,2019-11-20 16:18:45
39,4,correct,2019-11-20 16:18:51
36,7,correct,2019-11-20 16:18:51
54,4,correct,2019-11-20 16:18:57
57,4,correct,2019-11-20 16:19:04
73,4,correct,2019-11-20 16:19:10
34,4,correct,2019-11-20 16:19:22
38,7,correct,2019-11-20 16:19:30
35,4,correct,2019-11-20 16:19:36
31,8,correct,2019-11-20 16:19:39
39,7,correct,2019-11-20 16:19:39
40,4,correct,2019-11-20 16:19:47
40,7,correct,2019-11-20 16:19:52
41,4,correct,2019-11-20 16:19:57
32,8,correct,2019-11-20 16:19:59
52,4,correct,2019-11-20 16:20:05
53,4,correct,2019-11-20 16:20:22
55,4,correct,2019-11-20 16:20:31
56,4,correct,2019-11-20 16:20:45
72,4,correct,2019-11-20 16:20:52
74,4,correct,2019-11-20 16:21:03
34,8,correct,2019-11-20 16:21:10
3,3,correct,2019-11-20 16:21:26
35,8,correct,2019-11-20 16:21:58
36,8,correct,2019-11-20 16:23:06
8,3,correct,2019-11-20 16:23:39
37,8,correct,2019-11-20 16:23:49
38,8,correct,2019-11-20 16:24:08
74,6,correct,2019-11-20 16:24:50
39,8,correct,2019-11-20 16:25:05
2,3,correct,2019-11-20 16:25:07
72,6,correct,2019-11-20 16:25:14
40,8,correct,2019-11-20 16:25:22
42,8,correct,2019-11-20 16:26:15
43,8,correct,2019-11-20 16:26:32
44,8,correct,2019-11-20 16:26:43
45,8,correct,2019-11-20 16:26:56
31,10,correct,2019-11-20 16:27:04
46,8,correct,2019-11-20 16:27:11
56,6,correct,2019-11-20 16:27:17
29,4,correct,2019-11-20 16:27:18
47,8,correct,2019-11-20 16:27:26
7,3,correct,2019-11-20 16:27:30
32,10,correct,2019-11-20 16:27:33
48,8,correct,2019-11-20 16:27:39
55,6,correct,2019-11-20 16:28:01
50,8,correct,2019-11-20 16:28:06
53,6,correct,2019-11-20 16:28:41
52,8,correct,2019-11-20 16:28:58
52,6,correct,2019-11-20 16:29:27
57,6,correct,2019-11-20 16:29:55
5,3,correct,2019-11-20 16:29:58
54,6,correct,2019-11-20 16:30:41
1,10,correct,2019-11-20 16:30:51
4,3,correct,2019-11-20 16:31:47
1,9,correct,2019-11-20 16:32:08
6,3,correct,2019-11-20 16:32:11
1,8,correct,2019-11-20 16:33:24
10,3,correct,2019-11-20 16:33:38
12,3,correct,2019-11-20 16:34:27
13,3,correct,2019-11-20 16:35:29
54,8,correct,2019-11-20 16:35:34
55,8,correct,2019-11-20 16:35:55
56,8,correct,2019-11-20 16:36:23
57,8,correct,2019-11-20 16:36:49
58,8,correct,2019-11-20 16:37:23
59,8,correct,2019-11-20 16:37:45
60,8,correct,2019-11-20 16:38:00
1,11,correct,2019-11-20 16:38:00
32,12,correct,2019-11-20 16:38:17
15,3,correct,2019-11-20 16:38:33
31,13,correct,2019-11-20 16:38:39
33,12,correct,2019-11-20 16:38:40
31,11,correct,2019-11-20 16:38:42
32,11,correct,2019-11-20 16:38:54
32,13,correct,2019-11-20 16:39:29
61,8,correct,2019-11-20 16:40:05
62,8,correct,2019-11-20 16:40:22
63,8,correct,2019-11-20 16:40:34
64,8,correct,2019-11-20 16:40:55
65,8,correct,2019-11-20 16:41:19
66,8,correct,2019-11-20 16:41:30
41,6,correct,2019-11-20 16:41:37
67,8,correct,2019-11-20 16:41:46
31,16,correct,2019-11-20 16:42:05
31,15,correct,2019-11-20 16:42:10
68,8,correct,2019-11-20 16:42:11
40,6,correct,2019-11-20 16:42:16
16,3,correct,2019-11-20 16:42:17
1,12,correct,2019-11-20 16:42:20
69,8,correct,2019-11-20 16:42:25
32,15,correct,2019-11-20 16:43:00
70,8,correct,2019-11-20 16:43:06
32,16,correct,2019-11-20 16:43:09
61,13,correct,2019-11-20 16:43:10
34,12,correct,2019-11-20 16:43:12
71,8,correct,2019-11-20 16:43:20
33,16,correct,2019-11-20 16:43:23
72,8,correct,2019-11-20 16:43:45
35,11,correct,2019-11-20 16:43:57
36,11,correct,2019-11-20 16:44:09
37,11,correct,2019-11-20 16:44:32
35,16,correct,2019-11-20 16:44:42
38,11,correct,2019-11-20 16:44:42
74,8,correct,2019-11-20 16:44:43
75,8,correct,2019-11-20 16:44:59
39,11,correct,2019-11-20 16:45:01
35,6,correct,2019-11-20 16:45:07
40,11,correct,2019-11-20 16:45:11
76,8,correct,2019-11-20 16:45:13
34,6,correct,2019-11-20 16:45:32
41,11,correct,2019-11-20 16:45:33
31,6,correct,2019-11-20 16:45:42
42,11,correct,2019-11-20 16:45:43
32,6,correct,2019-11-20 16:45:49
43,11,correct,2019-11-20 16:45:53
44,11,correct,2019-11-20 16:46:07
33,6,correct,2019-11-20 16:46:08
52,11,correct,2019-11-20 16:46:24
31,18,correct,2019-11-20 16:49:11
36,6,correct,2019-11-20 16:50:00
32,18,correct,2019-11-20 16:50:07
37,6,correct,2019-11-20 16:50:43
38,6,correct,2019-11-20 16:51:10
1,16,correct,2019-11-20 16:51:28
39,6,correct,2019-11-20 16:51:39
36,16,correct,2019-11-20 16:52:22
42,6,correct,2019-11-20 16:52:34
43,6,correct,2019-11-20 16:52:43
37,16,correct,2019-11-20 16:52:44
44,6,correct,2019-11-20 16:52:51
38,16,correct,2019-11-20 16:52:58
1,17,correct,2019-11-20 16:53:01
39,16,correct,2019-11-20 16:53:14
45,6,correct,2019-11-20 16:53:36
40,16,correct,2019-11-20 16:53:41
46,6,correct,2019-11-20 16:53:53
31,21,correct,2019-11-20 16:53:57
47,6,correct,2019-11-20 16:54:05
48,6,correct,2019-11-20 16:54:13
41,16,correct,2019-11-20 16:54:15
49,6,correct,2019-11-20 16:54:22
42,16,correct,2019-11-20 16:54:26
50,6,correct,2019-11-20 16:54:30
32,21,correct,2019-11-20 16:54:35
43,16,correct,2019-11-20 16:54:36
44,16,correct,2019-11-20 16:54:52
53,11,correct,2019-11-20 16:54:52
58,6,correct,2019-11-20 16:55:11
33,21,correct,2019-11-20 16:55:13
59,6,correct,2019-11-20 16:55:22
45,16,correct,2019-11-20 16:55:24
54,11,correct,2019-11-20 16:55:28
46,16,correct,2019-11-20 16:55:35
34,21,correct,2019-11-20 16:55:41
47,16,correct,2019-11-20 16:55:48
48,16,correct,2019-11-20 16:55:59
55,11,correct,2019-11-20 16:56:03
35,21,correct,2019-11-20 16:56:12
50,16,correct,2019-11-20 16:56:27
56,11,correct,2019-11-20 16:56:28
36,21,correct,2019-11-20 16:56:51
52,16,correct,2019-11-20 16:57:09
53,16,correct,2019-11-20 16:57:29
54,16,correct,2019-11-20 16:57:43
55,16,correct,2019-11-20 16:58:12
37,21,correct,2019-11-20 16:58:21
38,21,correct,2019-11-20 16:58:41
1,22,correct,2019-11-20 16:58:53
57,16,correct,2019-11-20 16:58:54
7,10,correct,2019-11-20 16:58:58
1,19,correct,2019-11-20 16:58:59
58,16,correct,2019-11-20 16:59:06
3,10,correct,2019-11-20 16:59:13
39,21,correct,2019-11-20 16:59:16
59,16,correct,2019-11-20 16:59:21
4,10,correct,2019-11-20 16:59:23
5,10,correct,2019-11-20 16:59:38
45,11,correct,2019-11-20 16:59:39
8,10,correct,2019-11-20 16:59:50
46,11,correct,2019-11-20 16:59:52
60,16,correct,2019-11-20 17:00:07
41,21,correct,2019-11-20 17:00:26
31,19,correct,2019-11-20 17:00:56
10,10,correct,2019-11-20 17:00:59
61,16,correct,2019-11-20 17:01:08
13,10,correct,2019-11-20 17:01:26
62,16,correct,2019-11-20 17:01:26
12,10,correct,2019-11-20 17:01:32
32,19,correct,2019-11-20 17:01:35
15,10,correct,2019-11-20 17:01:46
21,17,correct,2019-11-20 17:01:48
33,19,correct,2019-11-20 17:02:04
43,21,correct,2019-11-20 17:02:04
16,10,correct,2019-11-20 17:02:05
57,11,correct,2019-11-20 17:02:08
63,16,correct,2019-11-20 17:02:15
19,10,correct,2019-11-20 17:02:18
44,21,correct,2019-11-20 17:02:19
10,11,correct,2019-11-20 17:02:30
64,16,correct,2019-11-20 17:02:30
45,21,correct,2019-11-20 17:02:47
34,19,correct,2019-11-20 17:03:01
65,16,correct,2019-11-20 17:03:04
11,10,correct,2019-11-20 17:03:04
46,21,correct,2019-11-20 17:03:35
66,16,correct,2019-11-20 17:03:35
47,21,correct,2019-11-20 17:03:57
35,19,correct,2019-11-20 17:03:57
42,22,correct,2019-11-20 17:04:03
48,21,correct,2019-11-20 17:04:11
67,16,correct,2019-11-20 17:04:11
43,22,correct,2019-11-20 17:04:16
44,22,correct,2019-11-20 17:04:27
68,16,correct,2019-11-20 17:04:35
9,10,correct,2019-11-20 17:04:44
45,22,correct,2019-11-20 17:04:52
36,19,correct,2019-11-20 17:04:54
51,21,correct,2019-11-20 17:04:59
69,16,correct,2019-11-20 17:05:03
46,22,correct,2019-11-20 17:05:05
70,16,correct,2019-11-20 17:05:18
71,16,correct,2019-11-20 17:05:31
48,22,correct,2019-11-20 17:05:35
37,19,correct,2019-11-20 17:05:42
52,21,correct,2019-11-20 17:05:54
38,22,correct,2019-11-20 17:06:02
24,4,correct,2019-11-20 17:06:05
72,16,correct,2019-11-20 17:06:08
38,19,correct,2019-11-20 17:06:13
39,22,correct,2019-11-20 17:06:17
39,19,correct,2019-11-20 17:06:46
36,22,correct,2019-11-20 17:07:24
27,4,correct,2019-11-20 17:07:47
75,16,correct,2019-11-20 17:07:55
55,21,correct,2019-11-20 17:08:07
76,16,correct,2019-11-20 17:08:08
33,22,correct,2019-11-20 17:09:46
41,19,correct,2019-11-20 17:09:49
42,19,correct,2019-11-20 17:10:23
57,21,correct,2019-11-20 17:10:43
43,19,correct,2019-11-20 17:11:16
58,21,correct,2019-11-20 17:11:16
59,21,correct,2019-11-20 17:11:26
44,19,correct,2019-11-20 17:11:31
32,22,correct,2019-11-20 17:11:36
60,21,correct,2019-11-20 17:11:42
31,25,correct,2019-11-20 17:11:43
32,25,correct,2019-11-20 17:11:55
45,19,correct,2019-11-20 17:11:58
35,22,correct,2019-11-20 17:12:04
61,21,correct,2019-11-20 17:12:10
46,19,correct,2019-11-20 17:12:13
33,25,correct,2019-11-20 17:12:15
47,19,correct,2019-11-20 17:12:29
34,22,correct,2019-11-20 17:12:29
62,21,correct,2019-11-20 17:12:30
34,25,correct,2019-11-20 17:12:37
63,21,correct,2019-11-20 17:12:46
48,19,correct,2019-11-20 17:12:47
35,25,correct,2019-11-20 17:12:49
64,21,correct,2019-11-20 17:13:02
36,25,correct,2019-11-20 17:13:07
37,22,correct,2019-11-20 17:13:15
65,21,correct,2019-11-20 17:13:21
37,25,correct,2019-11-20 17:13:27
50,19,correct,2019-11-20 17:13:28
38,25,correct,2019-11-20 17:13:53
66,21,correct,2019-11-20 17:13:55
40,22,correct,2019-11-20 17:14:06
51,19,correct,2019-11-20 17:14:07
41,22,correct,2019-11-20 17:14:30
67,21,correct,2019-11-20 17:14:32
52,19,correct,2019-11-20 17:14:43
68,21,correct,2019-11-20 17:14:56
1,25,correct,2019-11-20 17:15:36
70,21,correct,2019-11-20 17:15:52
50,22,correct,2019-11-20 17:15:54
39,25,correct,2019-11-20 17:16:05
54,19,correct,2019-11-20 17:16:09
51,22,correct,2019-11-20 17:16:11
71,21,correct,2019-11-20 17:16:12
40,25,correct,2019-11-20 17:16:20
41,25,correct,2019-11-20 17:16:30
42,25,correct,2019-11-20 17:16:39
55,19,correct,2019-11-20 17:16:46
52,22,correct,2019-11-20 17:16:46
43,25,correct,2019-11-20 17:16:59
44,25,correct,2019-11-20 17:17:28
53,22,correct,2019-11-20 17:17:35
45,25,correct,2019-11-20 17:17:37
46,25,correct,2019-11-20 17:17:45
2,9,correct,2019-11-20 17:17:46
54,22,correct,2019-11-20 17:17:48
47,25,correct,2019-11-20 17:17:52
75,21,correct,2019-11-20 17:17:56
56,19,correct,2019-11-20 17:18:08
48,25,correct,2019-11-20 17:18:09
55,22,correct,2019-11-20 17:18:09
78,25,correct,2019-11-20 17:18:34
76,21,correct,2019-11-20 17:18:43
57,19,correct,2019-11-20 17:18:48
79,25,correct,2019-11-20 17:18:48
5,9,correct,2019-11-20 17:18:50
56,22,correct,2019-11-20 17:18:53
58,19,correct,2019-11-20 17:19:04
57,22,correct,2019-11-20 17:19:11
3,9,correct,2019-11-20 17:19:11
49,25,correct,2019-11-20 17:19:11
50,25,correct,2019-11-20 17:19:18
59,19,correct,2019-11-20 17:19:19
1,21,correct,2019-11-20 17:19:19
4,9,correct,2019-11-20 17:19:21
58,22,correct,2019-11-20 17:19:23
51,25,correct,2019-11-20 17:19:25
52,25,correct,2019-11-20 17:19:51
60,19,correct,2019-11-20 17:19:51
59,22,correct,2019-11-20 17:19:57
53,25,correct,2019-11-20 17:20:02
32,26,correct,2019-11-20 17:20:13
54,25,correct,2019-11-20 17:20:14
6,9,correct,2019-11-20 17:20:16
61,19,correct,2019-11-20 17:20:18
