challenge_id,user_id,team_id,id,ip,provided,type,date
1,4,,1,384520,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:04:26
9,4,,2,384520,HRp,correct,2019-11-20 16:04:49
20,4,,3,384520,aW9u,correct,2019-11-20 16:04:56
19,4,,4,384520,bWF0,correct,2019-11-20 16:05:08
18,4,,5,384520,Zm9y,correct,2019-11-20 16:05:17
17,4,,6,384520,dElu,correct,2019-11-20 16:05:34
16,4,,7,384520,GVj,correct,2019-11-20 16:05:47
15,4,,8,384520,Jvd,correct,2019-11-20 16:05:57
14,4,,9,384520,Tm90UH,correct,2019-11-20 16:06:07
13,4,,10,384520,Wxs,correct,2019-11-20 16:06:17
12,4,,11,384520,RXa,correct,2019-11-20 16:06:28
11,4,,12,384520,Bbm,correct,2019-11-20 16:06:38
10,4,,13,384520,b25,correct,2019-11-20 16:06:47
3,4,,14,384520,ZTY0,correct,2019-11-20 16:08:33
4,4,,15,384520,RW5j,correct,2019-11-20 16:08:41
5,4,,16,384520,b2Rp,correct,2019-11-20 16:08:57
6,4,,17,384520,bmdJc,correct,2019-11-20 16:09:09
2,4,,18,384520,QmFz,correct,2019-11-20 16:09:17
7,4,,19,384520,05vdEV,correct,2019-11-20 16:09:57
8,4,,20,384520,uY3J5c,correct,2019-11-20 16:10:33
77,4,,21,384520,Base64EncodingIsNotEncryptionAndWillNotProtectInformation,correct,2019-11-20 16:10:46
78,4,,22,384520,2FA,correct,2019-11-20 16:10:55
79,4,,23,384520,OWASP,correct,2019-11-20 16:11:00
21,4,,24,384520,22211904-DDF5-4D0A-8A76-F73BCAF3D897,correct,2019-11-20 16:11:17
23,4,,25,384520,DF7D012B-9083-48BF-B240-280EED12B6A6,correct,2019-11-20 16:11:26
26,4,,26,384520,B3A0199B-8ECB-4494-AAC6-6F2E6FEB4AB5,correct,2019-11-20 16:11:36
42,4,,27,384520,false,correct,2019-11-20 16:12:20
43,4,,28,384520,false,correct,2019-11-20 16:12:27
44,4,,29,384520,false,correct,2019-11-20 16:12:32
45,4,,30,384520,true,correct,2019-11-20 16:12:40
46,4,,31,384520,false,correct,2019-11-20 16:12:46
47,4,,32,384520,true,correct,2019-11-20 16:12:53
48,4,,33,384520,false,correct,2019-11-20 16:12:58
49,4,,34,384520,false,correct,2019-11-20 16:13:05
50,4,,35,384520,false,correct,2019-11-20 16:13:11
31,3,,36,973283,a,correct,2019-11-20 16:13:14
51,4,,37,384520,true,correct,2019-11-20 16:13:40
58,4,,38,384520,a,correct,2019-11-20 16:13:47
59,4,,39,384520,false,correct,2019-11-20 16:13:54
60,4,,40,384520,d,correct,2019-11-20 16:14:04
61,4,,41,384520,a,correct,2019-11-20 16:14:10
62,4,,42,384520,d,correct,2019-11-20 16:14:16
63,4,,43,384520,c,correct,2019-11-20 16:14:22
64,4,,44,384520,a,correct,2019-11-20 16:14:31
65,4,,45,384520,b,correct,2019-11-20 16:15:00
66,4,,46,384520,a,correct,2019-11-20 16:15:25
67,4,,47,384520,c,correct,2019-11-20 16:15:32
1,3,,48,973283,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:15:45
68,4,,49,384520,c,correct,2019-11-20 16:16:01
69,4,,50,384520,c,correct,2019-11-20 16:16:08
70,4,,51,384520,b,correct,2019-11-20 16:16:14
71,4,,52,384520,a,correct,2019-11-20 16:16:19
75,4,,53,384520,a,correct,2019-11-20 16:16:25
76,4,,54,384520,d,correct,2019-11-20 16:16:37
31,4,,56,384520,a,correct,2019-11-20 16:17:22
32,4,,57,384520,d,correct,2019-11-20 16:17:32
31,7,,59,875427,a,correct,2019-11-20 16:17:54
33,4,,60,384520,c,correct,2019-11-20 16:17:58
32,7,,61,875427,d,correct,2019-11-20 16:18:10
33,7,,63,875427,c,correct,2019-11-20 16:18:19
36,4,,64,384520,d,correct,2019-11-20 16:18:20
34,7,,65,875427,d,correct,2019-11-20 16:18:28
37,4,,66,384520,a,correct,2019-11-20 16:18:37
35,7,,68,875427,d,correct,2019-11-20 16:18:41
38,4,,69,384520,c,correct,2019-11-20 16:18:45
39,4,,70,384520,b,correct,2019-11-20 16:18:51
36,7,,71,875427,d,correct,2019-11-20 16:18:51
54,4,,72,384520,false,correct,2019-11-20 16:18:57
57,4,,74,384520,true,correct,2019-11-20 16:19:04
73,4,,76,384520,c,correct,2019-11-20 16:19:10
34,4,,79,384520,d,correct,2019-11-20 16:19:22
38,7,,81,875427,c,correct,2019-11-20 16:19:30
35,4,,83,384520,d,correct,2019-11-20 16:19:36
31,8,,84,875427,a,correct,2019-11-20 16:19:39
39,7,,85,875427,b,correct,2019-11-20 16:19:39
40,4,,86,384520,a,correct,2019-11-20 16:19:47
40,7,,88,875427,a,correct,2019-11-20 16:19:52
41,4,,89,384520,c,correct,2019-11-20 16:19:57
32,8,,90,875427,d,correct,2019-11-20 16:19:59
52,4,,91,384520,d,correct,2019-11-20 16:20:05
53,4,,93,384520,b,correct,2019-11-20 16:20:22
55,4,,95,384520,c,correct,2019-11-20 16:20:31
56,4,,98,384520,b,correct,2019-11-20 16:20:45
72,4,,99,384520,c,correct,2019-11-20 16:20:52
74,4,,100,384520,e,correct,2019-11-20 16:21:03
34,8,,101,875427,d,correct,2019-11-20 16:21:10
3,3,,102,973283,ZTY0,correct,2019-11-20 16:21:26
35,8,,105,875427,d,correct,2019-11-20 16:21:58
36,8,,107,875427,d,correct,2019-11-20 16:23:06
8,3,,109,973283,uY3J5c,correct,2019-11-20 16:23:39
37,8,,111,875427,a,correct,2019-11-20 16:23:49
38,8,,112,875427,c,correct,2019-11-20 16:24:08
74,6,,113,783500,e,correct,2019-11-20 16:24:50
39,8,,114,875427,b,correct,2019-11-20 16:25:05
2,3,,115,973283,QmFz,correct,2019-11-20 16:25:07
72,6,,116,783500,c,correct,2019-11-20 16:25:14
40,8,,117,875427,a,correct,2019-11-20 16:25:22
42,8,,124,875427,False,correct,2019-11-20 16:26:15
43,8,,125,875427,False,correct,2019-11-20 16:26:32
44,8,,126,875427,False,correct,2019-11-20 16:26:43
45,8,,127,875427,True,correct,2019-11-20 16:26:56
31,10,,128,875427,a,correct,2019-11-20 16:27:04
46,8,,129,875427,False,correct,2019-11-20 16:27:11
56,6,,130,783500,b,correct,2019-11-20 16:27:17
29,4,,131,384520,1569E40B-E8D4-4B19-9692-AC77C7320FA7,correct,2019-11-20 16:27:18
47,8,,133,875427,True,correct,2019-11-20 16:27:26
7,3,,134,973283,05vdEV,correct,2019-11-20 16:27:30
32,10,,135,875427,d,correct,2019-11-20 16:27:33
48,8,,136,875427,False,correct,2019-11-20 16:27:39
55,6,,138,783500,c,correct,2019-11-20 16:28:01
50,8,,140,875427,False,correct,2019-11-20 16:28:06
53,6,,143,783500,b,correct,2019-11-20 16:28:41
52,8,,144,875427,d,correct,2019-11-20 16:28:58
52,6,,147,783500,d,correct,2019-11-20 16:29:27
57,6,,148,783500,true,correct,2019-11-20 16:29:55
5,3,,149,973283,b2Rp,correct,2019-11-20 16:29:58
54,6,,150,783500,false,correct,2019-11-20 16:30:41
1,10,,151,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:30:51
4,3,,152,973283,RW5j,correct,2019-11-20 16:31:47
1,9,,153,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:32:08
6,3,,154,973283,bmdJc,correct,2019-11-20 16:32:11
1,8,,155,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:33:24
10,3,,156,973283,b25,correct,2019-11-20 16:33:38
12,3,,157,973283,RXa,correct,2019-11-20 16:34:27
13,3,,161,973283,Wxs,correct,2019-11-20 16:35:29
54,8,,162,875427,False,correct,2019-11-20 16:35:34
55,8,,163,875427,c,correct,2019-11-20 16:35:55
56,8,,164,875427,b,correct,2019-11-20 16:36:23
57,8,,165,875427,true,correct,2019-11-20 16:36:49
58,8,,166,875427,a,correct,2019-11-20 16:37:23
59,8,,169,875427,False,correct,2019-11-20 16:37:45
60,8,,171,875427,d,correct,2019-11-20 16:38:00
1,11,,172,973292,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:38:00
32,12,,174,875427,d,correct,2019-11-20 16:38:17
15,3,,176,814680,Jvd,correct,2019-11-20 16:38:33
31,13,,177,875427,a,correct,2019-11-20 16:38:39
33,12,,178,875427,c,correct,2019-11-20 16:38:40
31,11,,179,973292,a,correct,2019-11-20 16:38:42
32,11,,180,973292,d,correct,2019-11-20 16:38:54
32,13,,181,875427,d,correct,2019-11-20 16:39:29
61,8,,186,875427,a,correct,2019-11-20 16:40:05
62,8,,187,875427,d,correct,2019-11-20 16:40:22
63,8,,188,875427,c,correct,2019-11-20 16:40:34
64,8,,190,875427,a,correct,2019-11-20 16:40:55
65,8,,194,875427,b,correct,2019-11-20 16:41:19
66,8,,196,875427,a,correct,2019-11-20 16:41:30
41,6,,197,783500,c,correct,2019-11-20 16:41:37
67,8,,198,875427,c,correct,2019-11-20 16:41:46
31,16,,204,875427,a,correct,2019-11-20 16:42:05
31,15,,207,875427,a,correct,2019-11-20 16:42:10
68,8,,208,875427,c,correct,2019-11-20 16:42:11
40,6,,209,783500,a,correct,2019-11-20 16:42:16
16,3,,210,973283,GVj,correct,2019-11-20 16:42:17
1,12,,211,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:42:20
69,8,,212,875427,c,correct,2019-11-20 16:42:25
32,15,,214,875427,d,correct,2019-11-20 16:43:00
70,8,,216,875427,b,correct,2019-11-20 16:43:06
32,16,,217,875427,d,correct,2019-11-20 16:43:09
61,13,,218,875427,a,correct,2019-11-20 16:43:10
34,12,,219,875427,d,correct,2019-11-20 16:43:12
71,8,,221,875427,a,correct,2019-11-20 16:43:20
33,16,,222,875427,c,correct,2019-11-20 16:43:23
72,8,,230,875427,c,correct,2019-11-20 16:43:45
35,11,,234,973292,d,correct,2019-11-20 16:43:57
36,11,,237,973292,d,correct,2019-11-20 16:44:09
37,11,,241,973292,a,correct,2019-11-20 16:44:32
35,16,,244,875427,d,correct,2019-11-20 16:44:42
38,11,,245,973292,c,correct,2019-11-20 16:44:42
74,8,,246,875427,e,correct,2019-11-20 16:44:43
75,8,,249,875427,a,correct,2019-11-20 16:44:59
39,11,,250,973292,b,correct,2019-11-20 16:45:01
35,6,,251,783500,d,correct,2019-11-20 16:45:07
40,11,,252,973292,a,correct,2019-11-20 16:45:11
76,8,,253,875427,d,correct,2019-11-20 16:45:13
34,6,,254,783500,d,correct,2019-11-20 16:45:32
41,11,,255,973292,c,correct,2019-11-20 16:45:33
31,6,,256,783500,a,correct,2019-11-20 16:45:42
42,11,,257,973292,false,correct,2019-11-20 16:45:43
32,6,,258,783500,d,correct,2019-11-20 16:45:49
43,11,,259,973292,false,correct,2019-11-20 16:45:53
44,11,,260,973292,false,correct,2019-11-20 16:46:07
33,6,,261,783500,c,correct,2019-11-20 16:46:08
52,11,,262,973292,d,correct,2019-11-20 16:46:24
31,18,,266,875427,A,correct,2019-11-20 16:49:11
36,6,,268,208011,d,correct,2019-11-20 16:50:00
32,18,,270,875427,D,correct,2019-11-20 16:50:07
37,6,,273,208011,a,correct,2019-11-20 16:50:43
38,6,,274,208011,c,correct,2019-11-20 16:51:10
1,16,,275,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:51:28
39,6,,276,208011,b,correct,2019-11-20 16:51:39
36,16,,277,875427,d,correct,2019-11-20 16:52:22
42,6,,278,208011,false,correct,2019-11-20 16:52:34
43,6,,279,208011,false,correct,2019-11-20 16:52:43
37,16,,280,875427,a,correct,2019-11-20 16:52:44
44,6,,281,208011,false,correct,2019-11-20 16:52:51
38,16,,282,875427,c,correct,2019-11-20 16:52:58
1,17,,283,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:53:01
39,16,,284,875427,b,correct,2019-11-20 16:53:14
45,6,,287,208011,true,correct,2019-11-20 16:53:36
40,16,,288,875427,a,correct,2019-11-20 16:53:41
46,6,,289,208011,false,correct,2019-11-20 16:53:53
31,21,,290,875427,a,correct,2019-11-20 16:53:57
47,6,,292,208011,true,correct,2019-11-20 16:54:05
48,6,,294,208011,false,correct,2019-11-20 16:54:13
41,16,,295,875427,c,correct,2019-11-20 16:54:15
49,6,,296,208011,false,correct,2019-11-20 16:54:22
42,16,,297,875427,false,correct,2019-11-20 16:54:26
50,6,,299,208011,false,correct,2019-11-20 16:54:30
32,21,,300,875427,d,correct,2019-11-20 16:54:35
43,16,,301,875427,false,correct,2019-11-20 16:54:36
44,16,,304,875427,false,correct,2019-11-20 16:54:52
53,11,,305,825501,b,correct,2019-11-20 16:54:52
58,6,,307,208011,a,correct,2019-11-20 16:55:11
33,21,,308,875427,c,correct,2019-11-20 16:55:13
59,6,,309,208011,false,correct,2019-11-20 16:55:22
45,16,,310,875427,true,correct,2019-11-20 16:55:24
54,11,,311,973292,false,correct,2019-11-20 16:55:28
46,16,,313,875427,false,correct,2019-11-20 16:55:35
34,21,,315,875427,d,correct,2019-11-20 16:55:41
47,16,,316,875427,true,correct,2019-11-20 16:55:48
48,16,,317,875427,false,correct,2019-11-20 16:55:59
55,11,,318,973292,c,correct,2019-11-20 16:56:03
35,21,,321,875427,d,correct,2019-11-20 16:56:12
50,16,,322,875427,false,correct,2019-11-20 16:56:27
56,11,,323,825501,b,correct,2019-11-20 16:56:28
36,21,,325,875427,d,correct,2019-11-20 16:56:51
52,16,,326,875427,d,correct,2019-11-20 16:57:09
53,16,,328,875427,b,correct,2019-11-20 16:57:29
54,16,,329,875427,false,correct,2019-11-20 16:57:43
55,16,,333,875427,c,correct,2019-11-20 16:58:12
37,21,,335,875427,a,correct,2019-11-20 16:58:21
38,21,,339,875427,c,correct,2019-11-20 16:58:41
1,22,,340,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:58:53
57,16,,341,875427,true,correct,2019-11-20 16:58:54
7,10,,342,875427,05vdEV,correct,2019-11-20 16:58:58
1,19,,343,875427,C9C4AB3D-A17F-4EA7-A4E9-98B861C1F4F9,correct,2019-11-20 16:58:59
58,16,,344,875427,a,correct,2019-11-20 16:59:06
3,10,,346,875427,ZTY0,correct,2019-11-20 16:59:13
39,21,,347,875427,b,correct,2019-11-20 16:59:16
59,16,,348,875427,false,correct,2019-11-20 16:59:21
4,10,,349,875427,RW5j,correct,2019-11-20 16:59:23
5,10,,351,875427,b2Rp,correct,2019-11-20 16:59:38
45,11,,352,510928,true,correct,2019-11-20 16:59:39
8,10,,354,875427,uY3J5c,correct,2019-11-20 16:59:50
46,11,,356,510928,false,correct,2019-11-20 16:59:52
60,16,,357,875427,d,correct,2019-11-20 17:00:07
41,21,,359,875427,c,correct,2019-11-20 17:00:26
31,19,,361,875427,a,correct,2019-11-20 17:00:56
10,10,,363,875427,b25,correct,2019-11-20 17:00:59
61,16,,364,875427,a,correct,2019-11-20 17:01:08
13,10,,366,875427,Wxs,correct,2019-11-20 17:01:26
62,16,,367,875427,d,correct,2019-11-20 17:01:26
12,10,,368,875427,RXa,correct,2019-11-20 17:01:32
32,19,,369,875427,d,correct,2019-11-20 17:01:35
15,10,,370,875427,Jvd,correct,2019-11-20 17:01:46
21,17,,371,875427,22211904-DDF5-4D0A-8A76-F73BCAF3D897,correct,2019-11-20 17:01:48
33,19,,372,875427,c,correct,2019-11-20 17:02:04
43,21,,373,875427,false,correct,2019-11-20 17:02:04
16,10,,374,875427,GVj,correct,2019-11-20 17:02:05
57,11,,375,510928,true,correct,2019-11-20 17:02:08
63,16,,376,875427,c,correct,2019-11-20 17:02:15
19,10,,377,875427,bWF0,correct,2019-11-20 17:02:18
44,21,,378,875427,false,correct,2019-11-20 17:02:19
10,11,,379,510928,b25,correct,2019-11-20 17:02:30
64,16,,380,875427,a,correct,2019-11-20 17:02:30
45,21,,381,875427,true,correct,2019-11-20 17:02:47
34,19,,383,875427,d,correct,2019-11-20 17:03:01
65,16,,384,875427,b,correct,2019-11-20 17:03:04
11,10,,385,875427,Bbm,correct,2019-11-20 17:03:04
46,21,,386,875427,false,correct,2019-11-20 17:03:35
66,16,,387,875427,a,correct,2019-11-20 17:03:35
47,21,,388,875427,true,correct,2019-11-20 17:03:57
35,19,,390,875427,d,correct,2019-11-20 17:03:57
42,22,,391,875427,false,correct,2019-11-20 17:04:03
48,21,,393,875427,false,correct,2019-11-20 17:04:11
67,16,,394,875427,c,correct,2019-11-20 17:04:11
43,22,,395,875427,false,correct,2019-11-20 17:04:16
44,22,,397,875427,false,correct,2019-11-20 17:04:27
68,16,,399,875427,c,correct,2019-11-20 17:04:35
9,10,,401,875427,HRp,correct,2019-11-20 17:04:44
45,22,,402,875427,true,correct,2019-11-20 17:04:52
36,19,,403,875427,d,correct,2019-11-20 17:04:54
51,21,,405,875427,true,correct,2019-11-20 17:04:59
69,16,,406,875427,c,correct,2019-11-20 17:05:03
46,22,,407,875427,false,correct,2019-11-20 17:05:05
70,16,,408,875427,b,correct,2019-11-20 17:05:18
71,16,,411,875427,a,correct,2019-11-20 17:05:31
48,22,,412,875427,false,correct,2019-11-20 17:05:35
37,19,,413,875427,a,correct,2019-11-20 17:05:42
52,21,,414,875427,d,correct,2019-11-20 17:05:54
38,22,,416,875427,c,correct,2019-11-20 17:06:02
24,4,,417,384520,AF296717-1AA3-450C-913E-7EE4EADF17B8,correct,2019-11-20 17:06:05
72,16,,418,875427,c,correct,2019-11-20 17:06:08
38,19,,419,875427,c,correct,2019-11-20 17:06:13
39,22,,420,875427,b,correct,2019-11-20 17:06:17
39,19,,426,875427,b,correct,2019-11-20 17:06:46
36,22,,431,875427,d,correct,2019-11-20 17:07:24
27,4,,438,384520,B3221847-14FE-4876-BADA-D780D8E70EA8,correct,2019-11-20 17:07:47
75,16,,439,875427,a,correct,2019-11-20 17:07:55
55,21,,440,875427,c,correct,2019-11-20 17:08:07
76,16,,441,875427,d,correct,2019-11-20 17:08:08
33,22,,449,875427,c,correct,2019-11-20 17:09:46
41,19,,450,875427,c,correct,2019-11-20 17:09:49
42,19,,451,875427,False,correct,2019-11-20 17:10:23
57,21,,452,875427,true,correct,2019-11-20 17:10:43
43,19,,453,875427,False,correct,2019-11-20 17:11:16
58,21,,454,875427,a,correct,2019-11-20 17:11:16
59,21,,455,875427,false,correct,2019-11-20 17:11:26
44,19,,457,875427,False,correct,2019-11-20 17:11:31
32,22,,459,875427,d,correct,2019-11-20 17:11:36
60,21,,460,875427,d,correct,2019-11-20 17:11:42
31,25,,461,605957,a,correct,2019-11-20 17:11:43
32,25,,462,605957,d,correct,2019-11-20 17:11:55
45,19,,463,875427,True,correct,2019-11-20 17:11:58
35,22,,465,875427,d,correct,2019-11-20 17:12:04
61,21,,467,875427,a,correct,2019-11-20 17:12:10
46,19,,468,875427,False,correct,2019-11-20 17:12:13
